UWI,Operator - On Record,End Completion Date,Field,Completed Zone,Dir,Open or Cased,Technology,Status,AFE Drilling Cost (K$),Total End Completion Costs (K$),# Days,Est Problem Time (%),Base Fluid,Load Fluid (m3),Load Fluid Rec (m3),Stimulation Fluid,Stim Company - On Record,Frac Report,Stages Attempted (#),Stages Actual (#),Completed Length (m),Avg Frac Spacing (m),Total Proppant Design (t),Total Proppant Placed (t),Avg Fluid Pumped per Stage (m3),Total Fluid Pumped (m3),6 mo Cal Gas Rate (mcf/d),12 mo Cal Gas Rate (mcf/d),12 Mo Cum Prod Gas (mmcf),6 mo Cal Oil Rate (bopd),12 mo Cal Oil Rate (bopd),6 Mo Cum Prod  Oil (mbo),12 Mo Cum Prod Oil (mbo),Job Objective,AFE Completion Cost (K$)
00/15-35-077-13W6/0,Birchcliff Energy Inc.,12/3/2014,Pouce Coupe South,Montney,H,Open,PP (StackFRAC),GAS,,"2,487",27,<10%,Slickwater,"6,670",707,TWS-FlowRider/MVP,Trican,1 - Report w Charts,19,19,"2,476",138,"1,425","1,425",352,"6,678","3,876","3,530","1,200",0,0,,,19 x 75t/stage N2 TWS-FlowRider/MVP Frac,"3,259"
00/04-03-077-14W6/0,EnCana Corporation,11/1/2007,Heritage,Montney,H,Cased,Sand/Gel/Foam/BP,GAS,,"4,078",90,10-30%,Water,966,506,BJ-Medallion,BJ Services,2 - Report w/o Charts,8,8,"1,842",263,820,819,119,949,"1,580","1,139",534,0,0,,,8 x 102t/stage CO2/N2 BJ-Medallion Frac,"3,760"
00/13-04-077-14W6/0,EnCana Corporation,3/9/2015,Heritage,Montney,H,Cased,Flow-Through BP,GAS,"2,896","5,467",168,<10%,Slickwater,"32,117","1,278",Unknown,Schlumberger,3 - No Report,29,29,"2,739",96,"3,825","3,049","1,085","31,460","6,941","4,244","2,087",0,0,,,29 x Stage 3825T SLB-Slickwater Frac,"6,229"
00/12-05-077-14W6/0 (1of2),EnCana Corporation,7/8/2005,Heritage,Montney,D,Cased,None,GAS,,67,140,,,,,,None,1 - Report w Charts,,,,,,,,,260,225,95,0,0,,,"Perforate,Evaluate",110
00/12-05-077-14W6/0 (2of2),EnCana Corporation,9/11/2005,Heritage,Montney,D,Cased,Mechanical Plug,GAS,,"1,173",37,,Slickwater,,,CWS-600,Calfrac,,,2,,,200,200,562,"1,124",260,225,95,0,0,,,2 x 100t/stage CWS-600 Frac,"1,100"
00/13-05-077-14W6/0,EnCana Corporation,4/5/2009,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"2,382",57,<10%,Water,"1,145",331,Unknown,Halliburton,2 - Report w/o Charts,8,8,"1,613",230,816,810,138,"1,107","2,515",884,605,0,0,,,8 x 102t/stage N2 Water Frac,"2,486"
00/08-06-077-14W6/0,EnCana Corporation,1/20/2014,Heritage,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,"2,861","4,046",56,<10%,Slickwater,"13,031",0,Unknown,Schlumberger,3 - No Report,16,16,"3,393",221,"3,470","3,436",814,"13,031","8,349",,,0,,,,16 x 200t/stage Slickwater Frac,"5,518"
00/04-07-077-14W6/0,EnCana Corporation,11/9/2011,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"3,642",137,,Water,,,Unknown,Halliburton,3 - No Report,,13,,,"1,326","1,326",184,"2,388","1,429","1,886",648,0,0,,,13 x 102t/stage N2 Water Frac,"3,825"
02/04-07-077-14W6/0,EnCana Corporation,8/8/2014,Heritage,Montney,H,Cased,Flow-Through BP,GAS,"1,954","3,318",52,10-30%,Slickwater,"10,150",0,Unknown,Schlumberger,3 - No Report,13,13,"1,493",120,"2,170","2,161",781,"10,150","5,751","5,296","1,741",0,0,,,13 x Stage 35t/Cluster SLB-Slickwater Frac,"3,694"
00/04-09-077-14W6/0,EnCana Corporation,2/27/2015,Heritage,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,"3,310","6,542",165,<10%,Slickwater,"30,360",867,Unknown,Schlumberger,3 - No Report,24,24,"2,898",123,"7,980","7,903","1,236","29,670","5,683","6,988","1,970",0,0,,,1 x 70T + 2 x 280t/stage + 21 x 350t/stage SLB-Slickwater Frac,"6,455"
02/04-09-077-14W6/0,EnCana Corporation,3/4/2015,Heritage,Montney,H,Cased,Flow-Through BP,GAS,,"4,945",163,<10%,Slickwater,"25,521","1,442",Unknown,Schlumberger,3 - No Report,23,23,"2,738",122,"3,920","3,844","1,089","25,040","7,077","4,803","1,766",0,0,,,1 x 70t + 22 x 175t/stage SLB-Slickwater Frac,
03/04-09-077-14W6/0,EnCana Corporation,2/13/2015,Heritage,Montney,H,Cased,Flow-Through BP,GAS,"2,539","5,174",144,<10%,Slickwater,"18,181",937,Unknown,Schlumberger,3 - No Report,23,23,"2,747",123,"3,850","3,856",754,"17,338","5,574","6,517","1,942",0,0,,,23 x Stage 35t/perf cluster SLB-Slickwater Frac,"7,688"
00/10-09-077-14W6/0,EnCana Corporation,3/2/2016,Heritage,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,,,79,,Slickwater,,,Unknown,Trican,3 - No Report,,21,,,"3,080","3,080",902,"18,948","4,110",,,0,,,,1 + 70t/stage + 7 x 105t/stage + 13 x 175t/stage Slickwater Frac,
00/13-09-077-14W6/0,EnCana Corporation,5/4/2009,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"2,637",69,,Water,,,Unknown,Halliburton,2 - Report w/o Charts,,8,,,816,816,146,"1,168","1,277","1,272",429,0,0,,,8 x 102t/stage N2 Foamed Water Frac,"2,576"
00/15-09-077-14W6/0,EnCana Corporation,3/6/2016,Heritage,Montney,H,Cased,Flow-Through BP,GAS,,,42,<10%,Slickwater,"34,226","1,566",Unknown,Trican,3 - No Report,21,21,"2,514",123,"7,070","7,071","1,612","33,850","5,215",,,0,,,,1 x 70T + 20 x 350t/stage TWS-Slickwater Frac,
00/14-18-077-14W6/0,EnCana Corporation,4/29/2009,Heritage,Montney,H,Open,W (ZoneSelect),GAS,,"2,847",84,,Water,,,Unknown,Halliburton,2 - Report w/o Charts,,8,,,816,816,173,"1,387","1,904","3,351",698,0,0,,,8 x 102t/stage N2 Water Frac,"2,801"
00/02-35-077-14W6/0,EnCana Corporation,3/30/2011,Briar Ridge,Montney,V,Cased,Single Stage Frac,OTHER,,524,16,,Water,,,CWS-PolyCO2,Calfrac,3 - No Report,,1,,,100,100,198,198,,,,,,,,1 x 100t CO2 Foamed CWS-PolyCO2 Frac,644
00/03-03-077-15W6/0,EnCana Corporation,1/19/2009,Heritage,Montney,H,Cased,Sand/Gel/Foam/BP,GAS,,"4,899",148,10-30%,Water,"1,896",246,HAL-pHaserFrac,Halliburton,3 - No Report,9,9,"1,531",191,917,837,206,"1,851",766,351,280,0,0,,,9 x 102t/stage CO2 HAL-pHaserFrac Frac,"3,075"
00/01-04-077-15W6/2,EnCana Corporation,2/18/2009,Heritage,Montney,H,Cased,Mechanical Plug,GAS,,"4,552",89,,Water,,,Unknown,Trican,3 - No Report,,8,,,816,816,245,"1,959","1,330",937,502,0,0,,,8 x 102t/stage CO2 Water Frac,"3,082"
00/09-05-077-15W6/0,EnCana Corporation,,Swan Lake,Montney,V,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Vertical Strat Test prior to Hz well,
00/10-09-077-15W6/0,EnCana Corporation,1/14/2011,Heritage,Montney,H,Open,W (ZoneSelect),GAS,,"5,016",92,10-30%,Oil/Water,"4,734",659,TWS-PolyEmulsion,Trican,3 - No Report,16,15,"2,289",159,"1,632","1,539",300,"4,503",945,"1,673",606,0,0,,,16 x 102t/stage CO2 Foamed TWS-PolyEmulsion Frac,"4,296"
00/13-10-077-15W6/0,EnCana Corporation,5/13/2016,Other Areas,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,,,79,<10%,Slickwater,"25,041","1,615",Unknown,Trican,1 - Report w Charts,25,25,"3,192",130,"4,270","4,127",998,"24,951","7,345",,,0,,,,1 x 70T + 24 x 175t/stage TWS-Slickwater Frac,
00/12-12-077-15W6/0,EnCana Corporation,8/15/2014,Heritage,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,"3,113","5,661",60,<10%,Slickwater,"32,848","2,338",Unknown,Schlumberger,3 - No Report,29,29,"3,446",121,"4,865","4,221","1,109","32,166","6,806","6,965","2,235",0,0,,,29 x Stage 4865T SLB-Slickwater Frac,"7,176"
00/04-13-077-15W6/0,EnCana Corporation,4/5/2009,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"3,223",65,,Water,,,Unknown,Halliburton,3 - No Report,,9,,,918,918,150,"1,354","1,878","1,195",495,0,0,,,9 x 102t/stage N2 Foamed Water Frac,"3,058"
00/05-13-077-15W6/0,EnCana Corporation,2/5/2010,Heritage,Montney,H,Cased,Mechanical Plug,GAS,,"2,709",128,,Water,,,Unknown,Halliburton,3 - No Report,,5,,,"1,025","1,025",370,"1,850","1,918","1,495",598,0,0,,,1 + 275t + 4 x 205t/stage N2 Foamed Water Frac,"2,809"
00/10-13-077-15W6/0,EnCana Corporation,10/15/2010,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"3,868",91,30-50%,Water,"2,701",851,Unknown,Halliburton,3 - No Report,16,16,"2,247",150,"1,600","1,581",169,"2,711","2,677","2,608",973,0,0,,,16 x 100t/stage N2 Foamed Water Frac,"3,953"
02/11-13-077-15W6/0,EnCana Corporation,11/15/2007,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"3,293",52,,Water,,,Unknown,Halliburton,3 - No Report,,9,,,918,918,147,"1,327","1,548","1,228",561,0,0,,,9 x 102t/stage CO2/N2 Water Frac,"3,333"
00/15-13-077-15W6/0,EnCana Corporation,4/28/2014,Heritage,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,"2,305","5,258",65,30-50%,Slickwater,"10,615",794,Unknown,Schlumberger,3 - No Report,22,17,"2,051",132,"3,360","2,800",624,"10,615","9,375","5,759","2,868",0,0,,,21 x Stage 35T/Cluster SLB-Slickwater Fracs,"4,860"
02/15-13-077-15W6/0,EnCana Corporation,6/16/2014,Heritage,Montney,H,Cased,Flow-Through BP,GAS,,"5,867",113,<10%,Slickwater,"15,361","2,628",Unknown,Schlumberger,3 - No Report,22,21,"2,668",131,"3,505","3,505",706,"14,820","13,548","11,050","4,069",0,0,,,21 x 170t/stage Slickwater Frac,"5,049"
00/01-14-077-15W6/0,EnCana Corporation,10/15/2008,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"2,806",59,,Water,,,Unknown,Halliburton,2 - Report w/o Charts,,8,,,816,816,145,"1,164","1,452","1,161",537,0,0,,,8 x 102t/stage Water Frac,"3,082"
00/04-14-077-15W6/0,EnCana Corporation,4/12/2013,Heritage,Montney,H,Cased,Flow-Through BP,GAS,"1,786","2,413",101,<10%,Slickwater,"5,311","1,035",Unknown,Schlumberger,3 - No Report,8,8,"1,552",207,"1,160","1,160",641,"5,128","3,097","2,271",845,0,0,,,8 x Stage 1160T SLB-Slickwater Frac,"3,301"
02/04-14-077-15W6/0,EnCana Corporation,1/12/2014,Heritage,Montney,H,Cased,Flow-Through BP,GAS,"2,134","2,148",34,10-30%,Slickwater,"8,313","1,451",Unknown,Schlumberger,3 - No Report,8,8,"1,566",214,"2,450","2,440","1,016","8,126","2,531",,,0,,,,8 x 306t/stage Slickwater Frac,"3,345"
00/05-14-077-15W6/0,EnCana Corporation,7/11/2011,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"4,054",16,,Water,,,Unknown,Halliburton,3 - No Report,,12,,,"1,224","1,224",174,"2,084","1,392","1,171",484,0,0,,,12 x 102t/stage N2 Foamed Water Frac,"3,622"
02/05-14-077-15W6/0,EnCana Corporation,4/6/2013,Heritage,Montney,H,Cased,Flow-Through BP,GAS,,"2,746",95,<10%,Slickwater,"7,382","1,420",Unknown,Schlumberger,3 - No Report,7,7,"1,518",232,"2,170","2,164","1,032","7,226","4,031","3,712","1,250",0,0,,,1 x 70t + 6 x 350t/stage SLB-Slickwater Frac,"2,821"
00/03-15-077-15W6/0,EnCana Corporation,,Other Areas,Montney,V,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling,
02/03-15-077-15W6/0,EnCana Corporation,6/3/2016,Other Areas,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,,,88,<10%,Slickwater,"23,370","1,072",Unknown,Trican,3 - No Report,25,25,"3,183",130,"4,270","4,268",932,"23,302","7,459",,,0,,,,25 x 175t/stage TWS-Slickwater Frac,
00/13-16-077-15W6/2,EnCana Corporation,3/3/2008,Heritage,Montney,H,Cased,BJ (OptiFrac SandJet (Sand Plug)),GAS,,"5,599",158,,Water,,,BJ-Medallion,BJ Services,3 - No Report,,10,,,"1,020","1,020",163,"1,628",950,643,346,0,0,,,10 x 102t/stage CO2 BJ-Medallion Frac,"3,333"
00/15-16-077-15W6/0,EnCana Corporation,7/25/2009,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"2,580",51,30-50%,Water,"1,940","1,082",Unknown,Sanjel,3 - No Report,10,10,"1,640",182,"1,020",951,183,"1,832","2,211","1,901",726,0,0,,,10 x 102t/stage N2 Water Frac,"2,755"
00/11-17-077-15W6/0,EnCana Corporation,,Other Areas,Montney,V,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling,
00/06-19-077-15W6/2,EnCana Corporation,12/10/2007,Heritage,Montney,H,Cased,BJ (OptiFrac SandJet (Sand Plug)),GAS,,"4,116",44,,Water,,,BJ-Medallion,BJ Services,2 - Report w/o Charts,,9,,,918,918,128,"1,156",625,502,230,0,0,,,9 x 102t/stage N2 BJ-Medallion Frac,"3,073"
00/15-19-077-15W6/0,EnCana Corporation,7/25/2009,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"2,994",51,,Water,,,Unknown,Halliburton,3 - No Report,,11,,,"1,122","1,122",141,"1,553","2,517","2,541",860,0,0,,,11 x 102t/stage N2 Water Frac,"3,027"
00/09-20-077-15W6/0,EnCana Corporation,4/22/2013,Heritage,Montney,H,Cased,Flow-Through BP,GAS,"2,270","3,822",112,<10%,Slickwater,"6,690",534,Unknown,Schlumberger,3 - No Report,10,10,"2,296",239,"1,645","1,655",640,"6,398","4,910","5,079","1,537",0,0,,,10 x Stage 1645T SLB-Slickwater Frac,"4,424"
00/16-20-077-15W6/0,EnCana Corporation,1/11/2009,Heritage,Montney,H,Open,HA (Delta Stim),GSUP,,"3,409",240,,Slickwater,,,CWS-600,Calfrac,2 - Report w/o Charts,,4,,,400,400,366,"1,465",500,,,0,,,,4 x 100t/stage CO2 CWS-600 Frac,"2,761"
00/16-20-077-15W6/2,EnCana Corporation,4/27/2009,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"1,889",64,,Water,,,Unknown,Halliburton,3 - No Report,,8,,,832,832,139,"1,110","2,055","2,218",707,0,0,,,8 x 104t/stage N2 Water Frac,"2,555"
02/16-20-077-15W6/0,EnCana Corporation,4/11/2013,Heritage,Montney,H,Cased,Flow-Through BP,GAS,"2,253","3,829",101,<10%,Slickwater,"9,205","1,011",Unknown,Schlumberger,3 - No Report,12,12,"2,786",237,"1,995","1,995",735,"8,825","5,832","6,526","1,855",0,0,,,12 x Stage 1995T SLB-Slickwater Frac,"4,952"
00/02-21-077-15W6/0,EnCana Corporation,6/26/2008,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"1,173",58,10-30%,Water,"1,454",540,Unknown,Halliburton,2 - Report w/o Charts,10,10,"1,582",176,"1,020","1,012",136,"1,356","2,806","2,224","1,070",0,0,,,10 x 102t/stage N2 Water Frac,"3,377"
00/08-21-077-15W6/0,EnCana Corporation,10/15/2008,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"3,082",59,,Water,,,Unknown,Halliburton,3 - No Report,,8,,,816,816,157,"1,255","1,795","1,207",641,0,0,,,8 x 102t/stage N2 Water Frac,"2,898"
00/15-21-077-15W6/0,EnCana Corporation,1/27/2010,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"3,751",113,,Water,,,Unknown,Halliburton,3 - No Report,,14,,,"1,428","1,428",149,"2,092","1,537","3,518",870,0,0,,,14 x 102t/stage N2 Water Frac,"3,875"
00/05-23-077-15W6/0,EnCana Corporation,11/21/2006,Heritage,Montney,V,Cased,Single Stage Frac,GAS,,574,32,,Surfactant,,,SLB-ClearFRAC,Schlumberger,3 - No Report,,1,,,100,100,131,131,479,277,156,0,0,,,1 x 100t N2 SLB-ClearFRAC Frac,767
00/10-24-077-15W6/0,EnCana Corporation,3/2/2016,Heritage,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,,,79,<10%,Slickwater,"45,410","1,681",Unknown,Trican,3 - No Report,26,26,"3,160",124,"8,820","8,815","1,736","45,127","3,124",,,0,,,,1 x 70T + 25 x 350t/stage TWS-Slickwater Frac,
00/11-24-077-15W6/0,EnCana Corporation,3/2/2016,Heritage,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,,,38,<10%,Slickwater,"28,462","1,681",Unknown,Trican,3 - No Report,29,28,"3,601",132,"4,865","4,617","1,010","28,293","11,572",,,0,,,,29 x Stage 35t/perf cluster TWS-Slickwater Fracs,
00/04-27-077-15W6/0,EnCana Corporation,10/25/2010,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"3,100",100,<10%,Water,"2,137",618,Unknown,Halliburton,3 - No Report,14,14,"1,940",149,"1,400","1,338",151,"2,109","3,811","3,535","1,163",0,0,,,14 x 100t/stage N2 Foamed Water Frac,"3,615"
00/15-27-077-15W6/0,EnCana Corporation,5/15/2012,Heritage,Montney,H,Cased,Flow-Through BP,GAS,,"4,716",93,<10%,Slickwater,"8,218","1,370",Unknown,Halliburton,3 - No Report,9,8,"1,791",242,"1,400","1,260",929,"7,430","6,442","5,443","2,042",0,0,,,8 x 175t/stage HAL-Slickwater Frac,"4,446"
00/16-27-077-15W6/0,EnCana Corporation,4/3/2012,Heritage,Montney,H,Cased,Flow-Through BP,GAS,,"3,649",49,<10%,Slickwater,"9,765",981,Unknown,Halliburton,3 - No Report,10,10,"2,177",228,"1,610","1,610",968,"9,676","6,962","6,648","2,331",0,0,,,10 x Stage 35t/cluster HAL-Slickwater Frac,"3,703"
00/01-28-077-15W6/0,EnCana Corporation,11/15/2007,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"3,235",52,,Water,,,Unknown,Halliburton,2 - Report w/o Charts,,9,,,900,900,170,"1,528","2,130","1,579",767,0,0,,,9 x 100t/stage CO2/N2 Water Frac,"3,333"
00/01-29-077-15W6/0,EnCana Corporation,8/5/2008,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"2,977",76,,Water,,,Unknown,Halliburton,3 - No Report,,8,,,816,816,154,"1,231","3,024","1,675",959,0,0,,,8 x 102t/stage N2 Water Frac,"2,911"
00/13-29-077-15W6/0,EnCana Corporation,3/6/2009,Heritage,Montney,H,Open,W (ZoneSelect),GAS,,"3,245",56,,Water,,,Unknown,Halliburton,2 - Report w/o Charts,,9,,,918,918,162,"1,454","2,771","2,361",773,0,0,,,9 x 102t/stage N2 Foamed Water Frac,"3,108"
02/02-30-077-15W6/0,EnCana Corporation,6/26/2008,Heritage,Montney,H,Cased,Mechanical Plug,GAS,,"4,521",81,,Water,,,Unknown,Halliburton,2 - Report w/o Charts,,10,,,"1,020","1,020",204,"2,042","3,760","2,781","1,335",0,0,,,10 x 102t/stage N2 Water Frac,"3,377"
00/08-30-077-15W6/0,EnCana Corporation,,Sunrise,Montney,H,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling,
00/13-30-077-15W6/0,EnCana Corporation,5/2/2009,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"2,089",46,,Water,,,Unknown,Halliburton,3 - No Report,,8,,,816,816,146,"1,164","3,068","2,334",780,0,0,,,8 x 102t/stage N2 Water Frac,"2,476"
00/05-31-077-15W6/2,EnCana Corporation,1/22/2008,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"4,253",70,,Water,,,Unknown,Halliburton,2 - Report w/o Charts,,8,,,810,810,128,"1,020","2,134","1,497",777,0,0,,,1 x 96t + 7 x 102t/stage CO2 Water Frac,"3,073"
00/05-32-077-15W6/0,EnCana Corporation,3/7/2009,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GAS,,"2,561",53,,Water,,,Unknown,Halliburton,3 - No Report,,8,,,816,816,147,"1,179","2,741","1,810",623,0,0,,,8 x 102t/stage N2 Foamed Water Frac,"2,486"
00/08-32-077-15W6/0,EnCana Corporation,8/11/2012,Heritage,Montney,H,Cased,Flow-Through BP,GAS,,"3,919",148,,Slickwater,,,Unknown,Halliburton,3 - No Report,,10,,,"1,512","1,512",840,"8,403","4,370","2,842","1,421",0,0,,,10 x 151t/stage Slickwater Frac,"4,567"
00/16-32-077-15W6/0,EnCana Corporation,8/7/2012,Heritage,Montney,H,Cased,Flow-Through BP,GAS,,"3,728",145,,Slickwater,,,Unknown,Halliburton,3 - No Report,,10,,,"1,470","1,470",775,"7,750","5,652","2,923","1,561",0,0,,,10 Stage 1470t Slickwater Frac,"4,614"
00/04-34-077-15W6/0,EnCana Corporation,2/6/2015,Heritage,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,,,33,<10%,Slickwater,"10,317",846,Unknown,Halliburton,3 - No Report,15,15,"2,803",193,"2,345","2,345",658,"9,871","5,792","5,838","2,246",0,0,,,15 x Stage 2345T HAL-Slickwater Frac,
00/05-34-077-15W6/0,EnCana Corporation,5/2/2015,Heritage,Montney,H,Cased,Ball & Seat/Plug & Perf,GAS,,,117,<10%,Slickwater,"15,654",501,Unknown,Halliburton,3 - No Report,24,24,"2,607",111,"3,535","3,535",614,"14,737","8,331","8,155","2,900",0,0,,,24 x Stage 3535T HAL-Slickwater Fracs,
00/12-34-077-15W6/0,EnCana Corporation,4/22/2015,Heritage,Montney,H,Cased,Flow-Through BP,GAS,,,110,<10%,Slickwater,"30,459","2,134",Unknown,Halliburton,3 - No Report,21,21,"2,493",122,"7,000","6,840","1,420","29,822","6,643","6,723","2,365",0,0,,,1 x 70t/stage + 20 x 350t/stage HAL-Slickwater Frac,
00/13-34-077-15W6/0,EnCana Corporation,5/24/2012,Heritage,Montney,H,Cased,Flow-Through BP,GAS,,"4,065",118,<10%,Slickwater,"10,280","1,787",Unknown,Trican,3 - No Report,11,11,"2,446",245,"1,750","1,743",934,"10,275","6,675","5,079","1,854",0,0,,,11 x Stage x 35t/perf Cluster TWS-Slickwater Frac,"4,665"
00/02-07-077-16W6/0,Murphy Canada Exploration Company,3/2/2012,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"5,605",36,,Surfactant,,,TWS-FracClean,Trican,3 - No Report,,14,,,714,714,85,"1,189","1,670","1,258",587,0,0,,,14 x 51t/stage CO2/N2 Foamed TWS-FracClean Frac,"3,400"
00/03-07-077-16W6/0,Murphy Canada Exploration Company,3/3/2012,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"3,332",37,<10%,Surfactant,832,130,TWS-FracClean,Trican,3 - No Report,14,13,"1,774",148,714,645,64,836,"1,147",764,426,0,0,,,14 x 51t/stage CO2/N2 Foamed TWS-FracClean Frac,"3,000"
00/07-07-077-16W6/0,Murphy Canada Exploration Company,4/1/2011,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"2,071",26,<10%,Surfactant,813,219,TWS-FracClean,Trican,3 - No Report,11,7,"1,717",286,561,360,116,813,"1,917","1,232",821,0,0,,,11 x 51t/stage CO2/N2 Foamed TWS-FracClean Frac,"2,840"
02/07-07-077-16W6/0,Murphy Canada Exploration Company,3/31/2011,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"2,461",25,<10%,Surfactant,"1,288",296,TWS-FracClean,Trican,3 - No Report,14,13,"1,593",133,714,653,87,"1,129","1,308",899,540,0,0,,,14 x 51t/stage CO2/N2 TWS-FracClean Frac,"3,310"
00/05-18-077-16W6/0,Murphy Canada Exploration Company,8/2/2011,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"2,365",20,,Surfactant,,,TWS-FracClean,Trican,3 - No Report,,14,,,714,714,67,937,"3,439","2,015","1,130",0,0,,,14 x 51t/stage CO2/N2 Foamed TWS-FracClean Frac,"3,300"
02/05-18-077-16W6/0,Murphy Canada Exploration Company,5/25/2012,Heritage,Montney,H,Open,Ball & Seat,GAS,,"2,864",117,10-30%,Surfactant,"1,010",115,TWS-FracClean,Trican,3 - No Report,14,14,"1,687",130,714,714,72,"1,010","3,158","1,814","1,140",0,0,,,14 x 51t/stage CO2/N2 Foamed TWS-FracClean Frac,"3,150"
00/11-18-077-16W6/0 (1of2),Murphy Canada Exploration Company,6/13/2012,Heritage,Montney,H,Cased,None,OTHER,,"3,044",136,,CO2,,,Unknown,Trican,3 - No Report,,,,,,,,100,,,,,,,,"Perforate,Stim,Evaluate","3,000"
00/11-18-077-16W6/0 (2of2),Murphy Canada Exploration Company,2/22/2014,Heritage,Montney,H,Cased,Mechanical Plug,OTHER,,"2,589",87,,Water,,,CSG-Optimum CM,Canyon,2 - Report w/o Charts,,7,,,714,714,59,413,,,,,,,,7 x 102t/stage CO2 CSG-Optimum CM Frac,"3,055"
00/12-18-077-16W6/0,Murphy Canada Exploration Company,7/24/2011,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"2,944",60,,Surfactant,,,TWS-FracClean,Trican,3 - No Report,,14,,,714,714,70,975,"2,475","1,738",983,0,0,,,14 x 51t/stage CO2/N2 Foamed TWS-FracClean Frac,"3,245"
00/14-18-077-16W6/0,Murphy Canada Exploration Company,12/7/2010,Heritage,Montney,H,Cased,Mechanical Plug,GAS,,"3,369",41,10-30%,Surfactant,"1,011",119,TWS-FracClean,Trican,3 - No Report,5,5,"1,401",300,750,752,196,978,"1,024",991,483,0,0,,,5 x 150t/stage CO2/N2 Foamed TWS-FracClean Frac,"3,550"
02/14-18-077-16W6/0,Murphy Canada Exploration Company,7/4/2011,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"2,126",40,,Surfactant,,,TWS-FracClean,Trican,3 - No Report,,14,,,714,714,70,985,"1,904","1,205",612,0,0,,,14 x 51t/stage CO2/N2 Foamed TWS-FracClean Frac,"3,295"
00/16-36-077-16W6/0,EnCana Corporation,3/12/2007,Heritage,Montney,H,Cased,Mechanical Plug,GAS,,"4,024",51,10-30%,Water,434,133,CWS-PolyCO2,Calfrac,1 - Report w Charts,5,6,"1,186",237,510,522,106,635,"1,702",912,542,0,0,,,5 x 102t/stage CO2 CWS-PolyCO2 Frac,"3,600"
02/16-03-077-17W6/0,Tourmaline Oil,3/25/2013,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,,24,<10%,Water,"4,115","1,591",Unknown,Trican,3 - No Report,15,15,"2,051",146,830,691,274,"4,115","2,385","1,517",752,0,0,,,"7 x 54.5t/stage CO2/N2 Water Frac, 8 x 56t/stage Slickwater Frac","4,526"
00/12-05-077-17W6/0,Tourmaline Oil,,Sundown,Montney,H,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling at 3186 mKB,
